Abbreviation; Full club name; Special ranking
VB; Vejle Boldklub;(R)
HIF; Hvidovre Idræts Forening;-
NBK; Næstved Boldklub;-
HF; Hillerød Fodbold;-
HBK; Herfølge Boldklub Køge;-
VFF; Vendsyssel Fodbold Forening;-
SØN; Sønderjyske;(R)
FCH; FC Helsingør;-
NFC; Nykøbing FC;-
HIK; Hobro Idræts Forening;-
FCF; FC Fredredcia;-
FA; Fremad Amager;-
